"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Bobby McFerrin","not available","Watch me play ... the audience!","In this fun, 3-min performance from the World Science Festival, musician Bobby McFerrin uses the pentatonic scale to reveal one surprising result of the way our brains are wired.","not available","https://ted.com/talks/bobby_mcferrin_hacks_your_brain_with_music","not available","https://ted.com","Feb 2010","Fascinating, Funny"
"Raghava KK","Artist","My 5 lives as an artist","With endearing honesty and vulnerability, Raghava KK tells the colorful tale of how art has taken his life to new places, and how life experiences in turn have driven his multiple reincarnations as an artist — from cartoonist to painter, media darling to social outcast, and son to father.","Raghava KK's paintings and drawings use cartoonish shapes and colors to examine the body, society, our world. ","https://ted.com/talks/raghava_kk_five_lives_of_an_artist","not available","https://ted.com/speakers/kk_raghava","Feb 2010","Inspiring, Beautiful"
"Pawan Sinha","Visual neuroscientist","How brains learn to see","Pawan Sinha details his groundbreaking research into how the brain's visual system develops. Sinha and his team provide free vision-restoring treatment to children born blind, and then study how their brains learn to interpret visual data. The work offers insights into neuroscience, engineering and even autism.","Pawan Sinha researches how our brains interpret what our eyes see — and uses that research to give blind children the gift of sight. ","https://ted.com/talks/pawan_sinha_on_how_brains_learn_to_see","not available","https://ted.com/speakers/pawan_sinha","Feb 2010","Inspiring, Fascinating"
"Temple Grandin","Livestock handling designer, autism activist","The world needs all kinds of minds","Temple Grandin, diagnosed with autism as a child, talks about how her mind works — sharing her ability to ""think in pictures,"" which helps her solve problems that neurotypical brains might miss. She makes the case that the world needs people on the autism spectrum: visual thinkers, pattern thinkers, verbal thinkers, and all kinds of smart geeky kids.","Through groundbreaking research and the lens of her own autism, Temple Grandin brings startling insight into two worlds.","https://ted.com/talks/temple_grandin_the_world_needs_all_kinds_of_minds","not available","https://ted.com/speakers/temple_grandin","Feb 2010","Inspiring, Informative"
"Eric Topol","Cardiologist and geneticist","The wireless future of medicine","Eric Topol says we'll soon use our smartphones to monitor our vital signs and chronic conditions. At TEDMED, he highlights several of the most important wireless devices in medicine's future — all helping to keep more of us out of hospital beds.","Eric Topol is a leading cardiologist who has embraced the study of genomics and the latest advances in technology to treat chronic disease. ","https://ted.com/talks/eric_topol_the_wireless_future_of_medicine","not available","https://ted.com/speakers/eric_topol","Feb 2010","Informative, Fascinating"
"Philip K. Howard","Legal activist","Four ways to fix a broken legal system","The land of the free has become a legal minefield, says Philip K. Howard — especially for teachers and doctors, whose work has been paralyzed by fear of suits. What's the answer? A lawyer himself, Howard has four propositions for simplifying US law.","Philip K. Howard is the founder of Common Good, a drive to overhaul the US legal system. His new book is 'The Rule of Nobody.' ","https://ted.com/talks/philip_howard","not available","https://ted.com/speakers/philip_k_howard","Feb 2010","Persuasive, Inspiring"
"Kevin Kelly","Digital visionary","Technology's epic story","In this wide-ranging, thought-provoking talk, Kevin Kelly muses on what technology means in our lives — from its impact at the personal level to its place in the cosmos.","There may be no one better to contemplate the meaning of cultural change than Kevin Kelly, whose life story reads like a treatise on the value and impacts of technology.","https://ted.com/talks/kevin_kelly_tells_technology_s_epic_story","not available","https://ted.com/speakers/kevin_kelly","Feb 2010","Fascinating, Informative"
"Bill Gates","Philanthropist","Innovating to zero!","At TED2010, Bill Gates unveils his vision for the world's energy future, describing the need for ""miracles"" to avoid planetary catastrophe and explaining why he's backing a dramatically different type of nuclear reactor. The necessary goal? Zero carbon emissions globally by 2050.","A passionate techie and a shrewd businessman, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again with his own style of philanthropy and passion for innovation.","https://ted.com/talks/bill_gates","https://twitter.com/billgates","https://ted.com/speakers/bill_gates","Feb 2010","Informative, Inspiring"
"Aimee Mullins","Athlete and actor","The opportunity of adversity","The thesaurus might equate ""disabled"" with synonyms like ""useless"" and ""mutilated,"" but ground-breaking runner Aimee Mullins is out to redefine the word. Defying these associations, she shows how adversity — in her case, being born without shinbones — actually opens the door for human potential.","A record-breaker at the Paralympic Games in 1996, Aimee Mullins has built a career as a model, actor and advocate for women, sports and the next generation of prosthetics. ","https://ted.com/talks/aimee_mullins_the_opportunity_of_adversity","not available","https://ted.com/speakers/aimee_mullins","Feb 2010","Inspiring, Courageous"
"David Cameron","Politician","The next age of government","The leader of Britain's Conservative Party says we're entering a new era — where governments themselves have less power (and less money) and people empowered by technology have more. Tapping into new ideas on behavioral economics, he explores how these trends could be turned into smarter policy.","David Cameron is the prime minister of the UK and the leader of the UK's Conservative Party.","https://ted.com/talks/david_cameron","not available","https://ted.com/speakers/david_cameron","Feb 2010","Inspiring, Persuasive"
"Blaise Agüera y Arcas","Software architect","Augmented-reality maps","In a demo that drew gasps at TED2010, Blaise Aguera y Arcas demos new augmented-reality mapping technology from Microsoft.","Blaise Agüera y Arcas works on machine learning at Google. Previously a Distinguished Engineer at Microsoft, he has worked on augmented reality, mapping, wearable computing and natural user interfaces.","https://ted.com/talks/blaise_aguera","https://twitter.com/blaiseaguera","https://ted.com/speakers/blaise_aguera_y_arcas","Feb 2010","Fascinating, Ingenious"
"Jamie Oliver","Chef, activist","Teach every child about food","Sharing powerful stories from his anti-obesity project in Huntington, West Virginia — and a shocking image of the sugar we eat — TED Prize winner Jamie Oliver makes the case for an all-out assault on our ignorance of food.","Jamie Oliver is transforming the way we feed ourselves, and our children.","https://ted.com/talks/jamie_oliver","not available","https://ted.com/speakers/jamie_oliver","Feb 2010","Inspiring, Persuasive"
"Peter Eigen","Founder, Transparency International","How to expose the corrupt","Some of the world's most baffling social problems, says Peter Eigen, can be traced to systematic, pervasive government corruption, hand-in-glove with global companies. In his talk, Eigen describes the thrilling counter-attack led by his organization, Transparency International.","As a director of the World Bank in Nairobi, Peter Eigen saw firsthand how devastating corruption can be. He's founder of Transparency International, an NGO that works to persuade international companies not to bribe.","https://ted.com/talks/peter_eigen_how_to_expose_the_corrupt","not available","https://ted.com/speakers/peter_eigen","Feb 2010","Courageous, Informative"
